Name,Address,Latitude,Longitude,Phone,Website,Yelp,IG,FB,City,Region,Cuisine,African,Caribbean,American,Southern,Barbecue,Dessert,Beverages,OtherCuisine,Service,Takeout,Delivery,Catering,Temporarily Closed,OtherService
Veg on the Edge,"725 Front St, Santa Cruz, CA 95060",36.974736,-122.02558,(831) 423-3000,https://vegontheedge.com/,https://www.yelp.com/biz/veg-on-the-edge-santa-cruz,https://www.instagram.com/veg_ontheedge,https://www.facebook.com/thevedgeontheedge/,Santa Cruz,South Bay,"West African, Vegan",Y,,,,,,,Y,Takeout,Y,,,,
Reggae Pot,"15495 Los Gatos Blvd, Los Gatos, CA 95032",37.244093,-121.960749,(408) 827-4597,https://reggaepot.com/,https://www.yelp.com/biz/reggae-pot-los-gatos,https://www.instagram.com/explore/locations/1024929905/reggae-pot-jamaican-restaurant,https://www.facebook.com/reggaepotlg/,Los Gatos,South Bay,Jamaican,,Y,,,,,,,Takeout,Y,,,,
Jubba Somali Restaurant,"5330 Terner Way, San Jose, CA 95136",37.257378,-121.861097,(408) 440-1504,,https://www.yelp.com/biz/jubba-restaurant-san-jose,,https://www.facebook.com/pages/category/Ethiopian-Restaurant/Jubba-Restaurant-549626968448404/,San Jose,South Bay,Somali,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Back a Yard Caribbean Grill,"1740 S Winchester Blvd, Campbell, CA 95008",37.292312,-121.949432,(408) 866-2666,backayard.net,https://www.yelp.com/biz/back-a-yard-caribbean-grill-campbell,https://www.instagram.com/backayardgrill,,Campbell,South Bay,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Back a Yard Caribbean Grill,"1011 E Capitol Expy, San Jose, CA 95121",37.299905,-121.824238,(408) 960-6330,backayard.net,https://www.yelp.com/biz/back-a-yard-san-jose-3,https://www.instagram.com/backayardgrill,https://www.facebook.com/backayardcapitol/,San Jose (Capitol Expressway),South Bay,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Zeni Ethiopian Restaurant,"1320 Saratoga Ave, San Jose, CA 95129",37.300229,-121.980523,(408) 615-8282,https://zeniethiopianrestaurant.com/,https://www.yelp.com/biz/zeni-ethiopian-restaurant-san-jose,https://www.instagram.com/zeniethiopian,https://www.facebook.com/ZeniEthiopian/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Walia Ethiopian Cuisine,"2208 Business Cir, San Jose, CA 95128",37.322361,-121.932552,(408) 645-5001,http://waliaethiopian.com/,https://www.yelp.com/biz/walia-ethiopian-cuisine-san-jose,https://www.instagram.com/walia_ethiopian,https://www.facebook.com/waliaethiopian/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Catering",Y,,Y,,
Lunch Box,"1876 W San Carlos St, San Jose, CA 95128",37.323231,-121.927754,(408) 287-3511,,https://www.yelp.com/biz/lunch-box-san-jose-2,,,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Gojo Ethiopian,"1261 W San Carlos St, San Jose, CA 95126",37.323818,-121.91079,(408) 295-9546,http://gojoethiopianrestaurant.com/,https://www.yelp.com/biz/gojo-ethiopian-restaurant-san-jose-2,,https://www.facebook.com/pages/category/Ethiopian-Restaurant/Gojo-Ethiopian-Restaurant-124599994303682/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Kategna Ethiopian,"1663 W San Carlos St, San Jose, CA 95128",37.323966,-121.921046,(408) 216-9695,www.kategna.com/,https://www.yelp.com/biz/kategna-ethiopian-restaurant-san-jose,https://www.instagram.com/kategnarestaurant,https://www.facebook.com/kategna/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Mudai,"503 W San Carlos St, San Jose, CA 95126",37.325922,-121.898852,(408) 292-2282,www.mudaiethiopiansanjose.com,https://www.yelp.com/biz/mudai-ethiopian-restaurant-san-jose,https://z-p42.www.instagram.com/mudaiethiopiansj/,https://www.facebook.com/mudaiethiopian/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Back a Yard Caribbean Grill,"80 N Market St, San Jose, CA 95113",37.336732,-121.892598,(408) 294-8626,backayard.net,https://www.yelp.com/biz/back-a-yard-san-jose,https://www.instagram.com/backayardgrill,https://www.facebook.com/pages/category/Caribbean-Restaurant/Back-A-Yard-249345095218904/,San Jose,South Bay,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Jackie's Place,"655 N 6th St, San Jose, CA 95112",37.350352,-121.894364,(408) 490-4653,www.jackiecaters.com/,https://www.yelp.com/biz/jackies-place-san-jose,https://www.instagram.com/jackiesplacesj,https://www.facebook.com/JackiesPlaceSJ/,San Jose,South Bay,Southern,,,,Y,,,,,Temporarily Closed,,,,Y,
Back a Yard Caribbean Grill,"638 N 13th St, San Jose, CA 95112",37.353938,-121.886536,(408) 380-4192,backayard.net,https://www.yelp.com/biz/back-a-yard-san-jose-4,https://www.instagram.com/backayardgrill,https://www.facebook.com/pages/Back-A-Yard-Carribean-Grill-Inc/224082808188751,San Jose (North),South Bay,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
LeYou Ethiopian,"1100 N 1st St, San Jose, CA 95112",37.356534,-121.905496,(408) 320-2620,https://leyou-sj.com/,https://www.yelp.com/biz/leyou-ethiopian-san-jose,https://www.instagram.com/leyouethiopian,https://www.facebook.com/leyouethiopian/,San Jose,South Bay,Ethiopian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
The Cookout,"1350 Pear Ave, Mountain View, CA 94043",37.415994,-122.0763,(650) 300-9945,,https://www.yelp.com/biz/the-cookout-food-truck-mountain-view-3,https://www.instagram.com/thecookoutft,www.facebook.com/thecookoutft,Mountain View,South Bay,Southern,,,,Y,,,,,Takeout,Y,,,,
